"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
132,102437,101888,0,1,94,7,5,100,0.5,2,65,4,2.5,88,"Hard",3,"Mo",1,"early","1"
133,102271,102374,0,1,66,6,1,76,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
134,101792,102776,0.5,2,63.5,1,1.5,81.5,0,1,49,0,3,65,"Hard",3,"Mo",1,"early","1"
135,103096,102344,0,1,59,1,3,76,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
136,101774,103344,NA,0,NA,NA,NA,NA,0,1,57,2,1,62,"Hard",3,"Mo",1,"early","0"
137,103103,101727,0,1,67,4,5,59,0.666666666666667,3,64.6666666666667,6.33333333333333,3.33333333333333,79.3333333333333,"Hard",3,"Mo",1,"early","0"
138,102839,102905,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
139,102437,103720,0,1,94,7,5,100,1,4,69,3,2.25,97.25,"Hard",3,"Mo",1,"early","0"
140,102374,101792,NA,0,NA,NA,NA,NA,0.5,2,63.5,1,1.5,81.5,"Hard",3,"Mo",1,"early","1"
141,103344,102344,0,1,57,2,1,62,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
142,102839,101727,NA,0,NA,NA,NA,NA,0.666666666666667,3,64.6666666666667,6.33333333333333,3.33333333333333,79.3333333333333,"Hard",3,"Mo",1,"early","0"
143,102374,103720,NA,0,NA,NA,NA,NA,1,4,69,3,2.25,97.25,"Hard",3,"Mo",1,"early","0"
144,103344,101727,0,1,57,2,1,62,0.666666666666667,3,64.6666666666667,6.33333333333333,3.33333333333333,79.3333333333333,"Hard",3,"Mo",1,"early","0"
145,101727,103720,0.666666666666667,3,64.6666666666667,6.33333333333333,3.33333333333333,79.3333333333333,1,4,69,3,2.25,97.25,"Hard",3,"Mo",1,"early","0"
146,101736,103264,NA,0,NA,NA,NA,NA,0,1,58,2,1,71,"Hard",5,"Mo",1,"early","1"
147,102854,102869,0.666666666666667,6,56.6666666666667,3.66666666666667,3.33333333333333,77.3333333333333,0,1,38,6,0,41,"Hard",5,"Mo",1,"early","1"
