tourney_date,tourney_name,surface,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,l_SvGms,winner_rank,loser_rank,winner_rank_points,loser_rank_points
20000501,Munich,Clay,101962,Younes El Aynaoui,R,193,MAR,28.6,103324,Arnaud Di Pasquale,R,185,FRA,21.2,7-5 6-4,3,95,6,3,81,54,38,12,5,6,11,0,4,73,56,36,7,7,10,11,16,49,1325,768
20000501,Munich,Clay,102358,Thomas Enqvist,R,190,SWE,26.1,103344,Ivan Ljubicic,R,193,CRO,21.1,6-2 6-7(1) 7-6(5),3,136,5,0,92,54,41,26,0,1,16,13,2,124,60,45,33,8,11,16,9,86,1749,476
20000501,Munich,Clay,102562,Jiri Novak,R,190,CZE,25.1,101792,Slava Dosedel,R,183,CZE,29.7,6-3 4-6 7-5,3,129,3,1,94,66,43,17,3,6,16,1,0,103,72,47,15,5,9,15,42,54,822,724
20000501,Munich,Clay,103163,Tommy Haas,R,188,GER,22,102539,Bohdan Ulihrach,R,188,CZE,25.1,7-5 3-6 6-3,3,128,8,5,92,39,30,31,3,5,15,1,2,103,67,39,25,9,12,15,19,114,1230,350
20000501,Munich,Clay,102768,Federico Browne,R,180,ARG,24,102035,Jonas Bjorkman,R,183,SWE,28.1,7-5 7-6(3),3,121,6,3,91,49,35,21,5,7,12,7,2,102,70,45,13,12,15,12,136,80,287,510
20000501,Munich,Clay,101897,Fernando Meligeni,L,180,BRA,29,102477,Gaston Etlis,R,185,ARG,25.4,7-5 3-6 6-4,3,118,3,2,82,39,26,27,2,5,15,4,1,106,68,48,17,9,13,16,36,135,910,289
20000501,Munich,Clay,103018,Max Mirnyi,R,196,BLR,22.8,102024,Hernan Gumy,R,188,ARG,28.1,6-3 6-0,3,51,6,1,47,34,27,7,1,1,8,2,2,36,24,15,4,1,5,7,65,87,628,468
20000501,Munich,Clay,102644,Franco Squillari,L,183,ARG,24.6,210013,Martin Damm Sr,R,188,CZE,27.7,6-2 6-2,3,64,2,2,51,26,19,16,3,3,8,2,2,49,28,16,8,2,6,8,52,NA,733,NA
20000501,Munich,Clay,101962,Younes El Aynaoui,R,193,MAR,28.6,101735,Richard Fromberg,R,196,AUS,30,6-7(4) 6-3 6-1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,61,1325,644
20000501,Munich,Clay,102358,Thomas Enqvist,R,190,SWE,26.1,102562,Jiri Novak,R,190,CZE,25.1,6-3 6-4,3,69,6,1,73,48,35,14,6,6,10,4,3,55,32,22,12,1,3,9,9,42,1749,822
20000501,Munich,Clay,103163,Tommy Haas,R,188,GER,22,102768,Federico Browne,R,180,ARG,24,6-3 6-4,3,65,6,5,50,27,24,15,1,2,10,4,1,59,44,28,6,8,11,9,19,136,1230,287
20000501,Munich,Clay,103018,Max Mirnyi,R,196,BLR,22.8,101897,Fernando Meligeni,L,180,BRA,29,7-5 6-3,3,78,2,3,70,43,30,15,3,5,11,3,7,66,43,24,11,8,12,10,65,36,628,910
20000501,Munich,Clay,102644,Franco Squillari,L,183,ARG,24.6,101962,Younes El Aynaoui,R,193,MAR,28.6,2-6 6-2 7-6(6),3,137,3,2,98,60,39,22,5,10,14,11,2,101,51,35,22,9,14,14,52,16,733,1325
20000501,Munich,Clay,103163,Tommy Haas,R,188,GER,22,102358,Thomas Enqvist,R,190,SWE,26.1,7-6(5) 1-6 6-4,3,108,10,8,103,59,42,16,7,12,15,4,1,78,46,35,18,0,3,14,19,9,1230,1749
20000501,Munich,Clay,102644,Franco Squillari,L,183,ARG,24.6,103018,Max Mirnyi,R,196,BLR,22.8,6-2 6-4,3,75,2,7,54,31,27,8,0,1,9,2,2,71,50,26,10,9,13,9,52,65,733,628
20000501,Munich,Clay,102644,Franco Squillari,L,183,ARG,24.6,103163,Tommy Haas,R,188,GER,22,6-4 6-4,3,76,2,2,53,33,25,13,0,1,10,1,2,60,39,25,10,2,5,10,52,19,733,1230
20000612,Queen's Club,Grass,102179,Antony Dupuis,R,185,FRA,27.2,101320,Magnus Gustafsson,R,185,SWE,33.4,4-6 6-3 6-4,3,113,5,0,102,63,45,22,10,12,15,6,7,78,44,34,17,4,7,14,105,77,372,532
20000612,Queen's Club,Grass,101150,Gianluca Pozzi,L,180,ITA,34.9,101733,Jan Siemerink,L,183,NED,30.1,6-3 4-6 6-1,3,112,4,5,92,47,35,25,9,11,13,6,7,97,54,33,20,11,16,13,76,125,541,310
20000612,Queen's Club,Grass,101086,Ronald Agenor,R,180,USA,35.5,101820,Marc Rosset,R,201,SUI,29.5,6-3 2-0 RET,3,42,2,0,31,22,20,4,0,0,6,3,5,36,16,12,7,2,4,5,97,34,406,920
20000612,Queen's Club,Grass,102257,Greg Rusedski,L,193,GBR,26.7,101965,Wayne Ferreira,R,185,RSA,28.7,7-5 6-4,3,67,14,5,61,34,28,15,3,4,11,7,7,68,33,22,19,5,8,11,20,42,1208,824
